# N012. [NeuAc(a2-3) Gal(b1-4) GlcNAc(b1-2) Man(a1-3)] [[Man(a1-3)] [Man(a1-6)] Man(a1-6)] Man(b1-4) GlcNAc(b1-4) GlcNAc(b1-0)
# Deuterium
# Metal: Na
# Method: EED
# Permethylated
# Precursor: 2Na+ 1215.1034

m/z	z	I
1807.90091	1+	89617336
1809.91933	1+	313139296
1818.89254	1+	35153272
1825.91797	1+	44587548
1827.92872	1+	98871944
1835.89203	1+	157224832
1839.90608	1+	116262664
1849.91046	1+	148246784
1855.9237	1+	299171712
1869.87675	1+	59735692
1875.8622	1+	9748570
1877.90708	1+	20122312
1881.94143	1+	5893780
1883.89702	1+	502562784
1891.92349	1+	11919332
1895.96171	1+	7294324
1907.96098	1+	7226333
1909.9762	1+	17365676
1913.90709	1+	7083535
1916.88738	1+	22566150
1919.90967	1+	6717925
1922.95974	1+	7827941
1925.97283	1+	12205176
1937.96686	1+	11349013
1939.98555	1+	24719180
1942.91785	1+	9658187
1947.94753	1+	8163890
1951.97199	1+	16835798
1955.9718	1+	27412822
1962.9317	1+	5995221
1966.96274	1+	15963749
1969.99373	1+	48714260
1972.91373	1+	7623303
1976.95015	1+	15696079
1979.97555	1+	39348736
1984.00593	1+	166792672
1991.97073	1+	22692160
2000.00319	1+	77162464
2005.98199	1+	23060660
2008.9768	1+	41950992
2013.00813	1+	45686492
2015.99564	1+	67201808
2021.98561	1+	107729888
2028.00253	1+	9364497
2032.02594	1+	281211712
2039.99249	1+	73291232
2046.95429	1+	171581536
2054.00879	1+	793310144
2066.9836	1+	6377146
2070.01163	1+	15607633
2072.96768	1+	12868711
2080.99743	1+	19319022
2084.02204	1+	17669710
2087.01099	1+	54071024
2089.95359	1+	8638848
2097.99946	1+	40658892
2102.03551	1+	8345380
2105.01235	1+	18122580
2113.02638	1+	48780796
2116.04498	1+	26314748
2119.03993	1+	13769921
2120.98322	1+	9434642
2127.06793	1+	14585051
